category,av,mv,al,ml
Entertainment,12880.544425646569,16087899,231.92134655450602,40246
Sports,9615.659997920658,2867888,175.07380177932242,8627
Film & Animation,8997.44232054903,5840839,259.11916554104755,41932
People & Blogs,8705.419410922479,13199833,250.45256698711393,1074169
News & Politics,8643.065163535142,4706030,298.87201113430757,10232
UNA,42054.77614648631,8825788,212.66545694490267,6961
Pets & Animals,11317.327076981708,3660009,122.77543826219512,21601
Autos & Vehicles,9220.511341360963,2803140,161.96135536264353,3680
Travel & Places,3935.1332197614993,5231539,199.80899488926747,6323
Music,13550.477863601584,15256922,270.5203994437277,4731877
Howto & DIY,13834.88223695021,2684989,620.6708111957057,4855737
Gadgets & Games,8453.421351789624,3651600,237.92032365381078,12158
Comedy,18257.4992028969,42513417,198.73412056753742,946028
